scheme_code,scheme_name
101295,SBI ESG Exclusionary Strategy Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW)
101303,DSP Short Term Fund - Regular Plan - Regular Plan - IDCW - Weekly
101304,DSP Short Term Fund - Regular Plan - Growth
101305,DSP Short Term Fund - Regular Plan - IDCW
101306,DSP Short Term Fund - IDCW - Monthly
101313,Aditya Birla Sun Life Nifty 50 Index Fund -REGULAR - IDCW
101314,Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Regular Plan
101316,Aditya Birla Sun Life Savings Fund-Retail Growth
101317,Aditya Birla Sun Life Savings Fund - Growth - Regular Plan
101349,ICICI Prudential Nifty 50 Index Fund - Cumulative Option
101351,ICICI Prudential All Seasons Bond Fund - Weekly IDCW
101356,Franklin India Money Market Fund Retail Option - Quarterly - IDCW
101357,Franklin India Money Market Fund - Growth Option
101373,Kotak Bond Short Term Plan-(Growth)
101407,Baroda BNP Paribas LIQUID FUND-Defunct Plan- IDCW Option
101408,Baroda BNP Paribas LIQUID FUND- Defunct Plan -Growth Option
101409,Baroda BNP Paribas LIQUID FUND-Defunct Plan-Daily IDCW Option
101491,Tata Childrens Fund -Regular Plan-Growth Option
101525,HDFC Nifty 50 Index Fund - Growth Plan
101530,SBI Large & Midcap Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW)
101538,Sundaram Mid Cap Fund Regular Plan - Income Distribution cum Capital Withdrawal (IDCW)
101539,Sundaram Mid Cap Fund Regular Plan - Growth
101547,Tata Short Term Bond Fund- Regular Plan - Monthly Payout of IDCW Option
101548,Tata Short Term Bond Fund -Regular Plan- Growth Option
101549,JM Liquid Fund (Regular) - Bonus Option - Principal Units
101551,SBI Equity Hybrid Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW)
101585,HDFC Equity Savings Fund - GROWTH PLAN
101586,HDFC Equity Savings Fund - IDCW PLAN
101587,CANARA ROBECO INCOME FUND - REGULAR PLAN - QUARTERLY IDCW (Payout/Reinvestment)
101588,CANARA ROBECO INCOME FUND - REGULAR PLAN - GROWTH OPTION
101591,Aditya Birla Sun Life Midcap Fund -REGULAR - IDCW
101592,Aditya Birla Sun Life MIDCAP Fund-Growth
101593,HSBC Large Cap Fund - Regular IDCW
101594,HSBC Large Cap Fund - Regular Growth
101599,HSBC Short Duration Fund - Regular Growth
101600,HSBC Short Duration Fund - Closed (Monthly IDCW)
101605,Tata Medium Term Fund- Regular Plan - Payout of IDCW option
101609,TATA Equity Savings Fund- Regular Plan -Monthly Payout of IDCW option
101617,ICICI Prudential Savings Fund - Weekly IDCW
101618,ICICI Prudential Savings Fund - Daily IDCW
101619,ICICI Prudential Savings Fund - Growth
101635,DSP Large Cap Fund - Regular Plan - Growth
101636,DSP Large Cap Fund - Regular Plan - IDCW
101656,Franklin India Dynamic Asset Allocation Active Fund of Funds-Growth
101657,Franklin India Dynamic Asset Allocation Active Fund of funds - IDCW
101659,Tata Nifty 50 Index Fund -Regular Plan
101665,Nippon India Short Term Fund-Growth Plan
101667,NIPPON INDIA SHORT DURATION FUND - MONTHLY IDCW Option
101669,NIPPON INDIA SHORT TERM FUND - QUARTERLY IDCW OPTION
101672,Tata Value Fund - Regular Plan -Growth Option
101685,HSBC Medium to Long Duration Fund - Regular Growth
101686,HSBC Medium to Long Duration Fund - Regular Quarterly IDCW
101703,Tata Medium Term Fund -Regular Plan - Growth Option
101705,ICICI Prudential BSE Sensex ETF
101706,ICICI Prudential Multicap Fund - IDCW
101714,Tata Liquid Fund- Regular Plan - Daily Reinvestment of IDCW Option
101737,Aditya Birla Sun Life Dividend Yield Fund -REGULAR - IDCW
101738,Aditya Birla Sun Life Dividend Yield Fund - Growth - Regular Plan
101746,Tata S&P BSE Sensex Index Fund -Regular Plan
101758,ICICI Prudential Short Term Fund - Growth Option
101759,ICICI Prudential Short Term Fund - Reinvestment of IDCW Fortnightly
101762,HDFC Flexi Cap Fund - Growth Plan
