scheme_code,scheme_name,canonical_scheme_name,match_key,category,is_active,rejection_reason
119805,SBI LIQUID FUND - - DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( ),Sbi Liquid Fund - - Daily Income Distribution Cum Capital Withdrawal ( ),sbiliquiddailyincomedistributioncumcapitalwithdrawal,unknown,True,Unknown Category
119808,L&T LOW DURATION FUND- -,L&T Low Duration Fund- -,ltlowduration,unknown,True,Unknown Category
119809,L&T LOW DURATION FUND- -,L&T Low Duration Fund- -,ltlowduration,unknown,True,Unknown Category
119810,SBI MAGNUM LOW DURATION FUND - - DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( ),Sbi Magnum Low Duration Fund - - Daily Income Distribution Cum Capital Withdrawal ( ),sbimagnumlowdurationdailyincomedistributioncumcapitalwithdrawal,unknown,True,Unknown Category
119811,SBI MAGNUM LOW DURATION FUND - - FORTNIGHTLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( ),Sbi Magnum Low Duration Fund - - Fortnightly Income Distribution Cum Capital Withdrawal ( ),sbimagnumlowdurationfortnightlyincomedistributioncumcapitalwithdrawal,unknown,True,Unknown Category
119812,SBI MAGNUM LOW DURATION FUND - -,Sbi Magnum Low Duration Fund - -,sbimagnumlowduration,unknown,True,Unknown Category
119813,SBI SHORT TERM DEBT FUND - - INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( ),Sbi Short Term Debt Fund - - Income Distribution Cum Capital Withdrawal ( ),sbishorttermdebtincomedistributioncumcapitalwithdrawal,unknown,True,Unknown Category
119815,SBI SHORT TERM DEBT FUND - FORTNIGHTLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( ),Sbi Short Term Debt Fund - Fortnightly Income Distribution Cum Capital Withdrawal ( ),sbishorttermdebtfortnightlyincomedistributioncumcapitalwithdrawal,unknown,True,Unknown Category
119816,SBI SHORT TERM DEBT FUND - -,Sbi Short Term Debt Fund - -,sbishorttermdebt,unknown,True,Unknown Category
119817,SBI SHORT TERM DEBT FUND - WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( ),Sbi Short Term Debt Fund - Weekly Income Distribution Cum Capital Withdrawal ( ),sbishorttermdebtweeklyincomedistributioncumcapitalwithdrawal,unknown,True,Unknown Category
119818,SBI MAGNUM LOW DURATION FUND - - INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( ),Sbi Magnum Low Duration Fund - - Income Distribution Cum Capital Withdrawal ( ),sbimagnumlowdurationincomedistributioncumcapitalwithdrawal,unknown,True,Unknown Category
