scheme_code,scheme_name,canonical_scheme_name,match_key,category,is_active
113177,NIPPON INDIA SMALL CAP FUND - -,Nippon India Small Cap Fund - -,nipponsmallcap,small_cap,True
113178,NIPPON INDIA SMALL CAP FUND - -,Nippon India Small Cap Fund - -,nipponsmallcap,small_cap,True
113179,NIPPON INDIA SMALL CAP FUND -,Nippon India Small Cap Fund -,nipponsmallcap,small_cap,True
113221,CANARA ROBECO LARGE CAP FUND - -,Canara Robeco Large Cap Fund - -,canararobecolargecap,large_cap,True
113222,CANARA ROBECO LARGE CAP FUND - - ( / ),Canara Robeco Large Cap Fund - - ( / ),canararobecolargecap,large_cap,True
113249,IDBI NIFTY NEXT 50 INDEX FUND,Idbi Nifty Next 50 Index Fund,idbiniftynext50index,index_fund,True
113250,IDBI NIFTY NEXT 50 INDEX FUND,Idbi Nifty Next 50 Index Fund,idbiniftynext50index,index_fund,True
113269,NIPPON INDIA INDEX FUND - BSE SENSEX - -,Nippon India Index Fund - Bse Sensex - -,nipponindexbsesensex,index_fund,True
113270,NIPPON INDIA INDEX FUND - BSE SENSEX - -,Nippon India Index Fund - Bse Sensex - -,nipponindexbsesensex,index_fund,True
113271,NIPPON INDIA INDEX FUND - BSE SENSEX - -,Nippon India Index Fund - Bse Sensex - -,nipponindexbsesensex,index_fund,True
113294,NIPPON INDIA INDEX FUND - BSE SENSEX - HALF YEARLY -,Nippon India Index Fund - Bse Sensex - Half Yearly -,nipponindexbsesensexhalfyearly,index_fund,True
113295,NIPPON INDIA INDEX FUND - BSE SENSEX - -,Nippon India Index Fund - Bse Sensex - -,nipponindexbsesensex,index_fund,True
113296,NIPPON INDIA INDEX FUND - NIFTY 50 - -,Nippon India Index Fund - Nifty 50 - -,nipponindexnifty50,index_fund,True
113297,NIPPON INDIA INDEX FUND - NIFTY 50 - -,Nippon India Index Fund - Nifty 50 - -,nipponindexnifty50,index_fund,True
113298,NIPPON INDIA INDEX FUND - NIFTY 50 - -,Nippon India Index Fund - Nifty 50 - -,nipponindexnifty50,index_fund,True
113299,NIPPON INDIA INDEX FUND - NIFTY 50 - HALF YEARLY -,Nippon India Index Fund - Nifty 50 - Half Yearly -,nipponindexnifty50halfyearly,index_fund,True
113300,NIPPON INDIA INDEX FUND - NIFTY 50 - -,Nippon India Index Fund - Nifty 50 - -,nipponindexnifty50,index_fund,True
113327,BARODA MID CAP FUND- A -,Baroda Mid Cap Fund- A -,barodamidcapa,mid_cap,True
113328,BARODA MID CAP FUND- A -,Baroda Mid Cap Fund- A -,barodamidcapa,mid_cap,True
113434,AXIS GOLD ETF,Axis Gold Etf,axisgoldetf,index_fund,True
113460,BNP PARIBAS MULTI CAP FUND-,Bnp Paribas Multi Cap Fund-,bnpparibasmulticap,multi_cap,True
113461,BNP PARIBAS MULTI CAP FUND INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,Bnp Paribas Multi Cap Fund Income Distribution Cum Capital Withdrawal,bnpparibasmulticapincomedistributioncumcapitalwithdrawal,multi_cap,True
113544,BNP PARIBAS LARGE CAP FUND-,Bnp Paribas Large Cap Fund-,bnpparibaslargecap,large_cap,True
113545,BNP PARIBAS LARGE CAP FUND INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,Bnp Paribas Large Cap Fund Income Distribution Cum Capital Withdrawal,bnpparibaslargecapincomedistributioncumcapitalwithdrawal,large_cap,True
