scheme_code,scheme_name,canonical_scheme_name,match_key,category
112330,BANDHAN MULTI ASSET PASSIVE FOF - -,BANDHAN MULTI ASSET PASSIVE FOF - -,bandhanmultiassetpassivefof,index_fund
112331,BANDHAN AGGRESSIVE HYBRID PASSIVE FOF - -,BANDHAN AGGRESSIVE HYBRID PASSIVE FOF - -,bandhanaggressivehybridpassivefof,index_fund
112332,BANDHAN AGGRESSIVE HYBRID PASSIVE FOF - -,BANDHAN AGGRESSIVE HYBRID PASSIVE FOF - -,bandhanaggressivehybridpassivefof,index_fund
112351,KOTAK NIFTY 50 ETF,KOTAK NIFTY 50 ETF,kotaknifty50etf,index_fund
112877,BANDHAN NIFTY 50 INDEX FUND - -,BANDHAN NIFTY 50 INDEX FUND - -,bandhannifty50index,index_fund
112878,BANDHAN NIFTY 50 INDEX FUND - -,BANDHAN NIFTY 50 INDEX FUND - -,bandhannifty50index,index_fund
112931,MIRAE ASSET LARGE & MIDCAP FUND - -,MIRAE ASSET LARGE & MIDCAP FUND - -,miraeassetlargemidcap,mid_cap
112932,MIRAE ASSET LARGE & MIDCAP FUND - -,MIRAE ASSET LARGE & MIDCAP FUND - -,miraeassetlargemidcap,mid_cap
112948,TAURUS NIFTY 50 INDEX FUND - -,TAURUS NIFTY 50 INDEX FUND - -,taurusnifty50index,index_fund
112949,TAURUS NIFTY 50 INDEX FUND - - OF INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,TAURUS NIFTY 50 INDEX FUND - - OF INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,taurusnifty50indexofincomedistributioncumcapitalwithdrawal,index_fund
112957,ICICI PRUDENTIAL NIFTY NEXT 50 INDEX FUND -,ICICI PRUDENTIAL NIFTY NEXT 50 INDEX FUND -,iciciprudentialniftynext50index,index_fund
112958,ICICI PRUDENTIAL NIFTY NEXT 50 INDEX FUND -,ICICI PRUDENTIAL NIFTY NEXT 50 INDEX FUND -,iciciprudentialniftynext50index,index_fund
113049,HDFC GOLD ETF -,HDFC GOLD ETF -,hdfcgoldetf,index_fund
113062,IDBI NIFTY 50 INDEX FUND,IDBI NIFTY 50 INDEX FUND,idbinifty50index,index_fund
113063,IDBI NIFTY 50 INDEX FUND,IDBI NIFTY 50 INDEX FUND,idbinifty50index,index_fund
113069,MOTILAL OSWAL NIFTY 50 ETF,MOTILAL OSWAL NIFTY 50 ETF,motilaloswalnifty50etf,index_fund
113076,ICICI PRUDENTIAL GOLD ETF,ICICI PRUDENTIAL GOLD ETF,iciciprudentialgoldetf,index_fund
113153,DSP SMALL CAP FUND - -,DSP SMALL CAP FUND - -,dspsmallcap,small_cap
113177,NIPPON INDIA SMALL CAP FUND - -,NIPPON INDIA SMALL CAP FUND - -,nipponsmallcap,small_cap
113178,NIPPON INDIA SMALL CAP FUND - -,NIPPON INDIA SMALL CAP FUND - -,nipponsmallcap,small_cap
113179,NIPPON INDIA SMALL CAP FUND -,NIPPON INDIA SMALL CAP FUND -,nipponsmallcap,small_cap
113221,CANARA ROBECO LARGE CAP FUND - -,CANARA ROBECO LARGE CAP FUND - -,canararobecolargecap,large_cap
113222,CANARA ROBECO LARGE CAP FUND - - ( / ),CANARA ROBECO LARGE CAP FUND - - ( / ),canararobecolargecap,large_cap
113249,IDBI NIFTY NEXT 50 INDEX FUND,IDBI NIFTY NEXT 50 INDEX FUND,idbiniftynext50index,index_fund
113250,IDBI NIFTY NEXT 50 INDEX FUND,IDBI NIFTY NEXT 50 INDEX FUND,idbiniftynext50index,index_fund
